,Day 1,Day 5,Day 14,Day 19,Day 25,Day 32,Day 37,Day 45,Final
Liam,Not in Villa,Faye,Millie,Millie,Millie,Millie,Millie,Millie,Winner
Millie,Not in Villa,Not in Villa,Liam,Liam,Liam,Liam,Liam,Liam,Winner
Chloe,N/A,Hugo,Toby,Toby,Hugo,Dale,Toby,Toby,Runner-Up
Toby,Kaz,Kaz,Chloe,Chloe,Abigail,Mary,Chloe,Chloe,Runner-Up
Faye,Brad,Liam,Teddy,Teddy,Teddy,Sam,Teddy,Teddy,3rd Place
Teddy,Not in Villa,Not in Villa,Faye,Faye,Faye,N/A,Faye,Faye,3rd Place
Kaz,Toby,Toby,Aaron,Aaron,Tyler,Matthew,Matthew,Tyler,4th Place
Tyler,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Kaz,Clarisse,Clarisse,Kaz,4th Place
Jake,Liberty,Liberty,Liberty,Liberty,Liberty,Liberty,Liberty,Liberty,Walked
Liberty,Jake,Jake,Jake,Jake,Jake,Jake,Jake,Jake,Walked
Aaron S,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Mary,Dumped
Mary,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Toby,Sam,Aaron S,Dumped
Brett,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Priya,Dumped
Priya,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Brett,Dumped
Matthew,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Kaz,Kaz,Dumped,Dumped
Abigail,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Toby,N/A,Dale,Dumped,Dumped
Dale,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Chloe,Abigail,Dumped,Dumped
Amy,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Hugo,Hugo,Dumped,Dumped
Clarisse,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Tyler,Tyler,Dumped,Dumped
Hugo,Sharon,Chloe,Sharon,AJ,Chloe,Amy,Amy,Dumped,Dumped
Sam,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Faye,Mary,Dumped,Dumped
Harry,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped,Dumped,Dumped,Dumped
Jack,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped,Dumped,Dumped,Dumped
Kaila,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped,Dumped,Dumped,Dumped
Lillie,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped,Dumped,Dumped,Dumped
Medhy,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped,Dumped,Dumped,Dumped
Salma,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped,Dumped,Dumped,Dumped
Aaron,Shannon,Sharon,Kaz,Kaz,Lucinda,Dumped,Dumped,Dumped,Dumped
Lucinda,Not in Villa,Not in Villa,Brad,Danny,Aaron,Dumped,Dumped,Dumped,Dumped
Georgia,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped,Dumped,Dumped,Dumped,Dumped
AJ,Not in Villa,Not in Villa,Not in Villa,Hugo,Dumped,Dumped,Dumped,Dumped,Dumped
Danny,Not in Villa,Not in Villa,Not in Villa,Lucinda,Dumped,Dumped,Dumped,Dumped,Dumped
Sharon,Hugo,Aaron,Hugo,Dumped,Dumped,Dumped,Dumped,Dumped,Dumped
Brad,Faye,N/A,Lucinda,Dumped,Dumped,Dumped,Dumped,Dumped,Dumped
Rachel,Not in Villa,Not in Villa,Dumped,Dumped,Dumped,Dumped,Dumped,Dumped,Dumped
Chuggs,Not in Villa,N/A,Dumped,Dumped,Dumped,Dumped,Dumped,Dumped,Dumped
Shannon,Aaron,Dumped,Dumped,Dumped,Dumped,Dumped,Dumped,Dumped,Dumped
